date,population
2012-01-01,16730348
2012-02-01,16731280
2012-03-01,16735690
2012-04-01,16737631
2012-05-01,16739764
2012-06-01,16742830
2012-07-01,16744696
2012-08-01,16746558
2012-09-01,16758167
2012-10-01,16772610
2012-11-01,16778726
2012-12-01,16781377
2013-01-01,16779575
2013-02-01,16781367
2013-03-01,16783870
2013-04-01,16784986
2013-05-01,16785783
2013-06-01,16788992
2013-07-01,16792122
2013-08-01,16795289
2013-09-01,16805879
2013-10-01,16820076
2013-11-01,16825762
2013-12-01,16829252
2014-01-01,16829289
2014-02-01,16833919
2014-03-01,16840299
2014-04-01,16844980
2014-05-01,16849473
2014-06-01,16853737
2014-07-01,16857811
2014-08-01,16859859
2014-09-01,16870851
2014-10-01,16887455
2014-11-01,16895020
2014-12-01,16900158
2015-01-01,16900726
2015-02-01,16902755
2015-03-01,16907260
2015-04-01,16909935
2015-05-01,16913226
2015-06-01,16916874
2015-07-01,16920914
2015-08-01,16924103
2015-09-01,16938111
2015-10-01,16957471
2015-11-01,16967044
2015-12-01,16975465
2016-01-01,16979120
2016-02-01,16983680
2016-03-01,16992010
2016-04-01,16997917
2016-05-01,17003531
2016-06-01,17011291
2016-07-01,17018050
2016-08-01,17022674
2016-09-01,17042542
2016-10-01,17062489
2016-11-01,17072044
2016-12-01,17079787
2017-01-01,17081507
2017-02-01,17083783
2017-03-01,17091456
2017-04-01,17098835
2017-05-01,17104960
2017-06-01,17111589
2017-07-01,17116868
2017-08-01,17120835
2017-09-01,17140861
2017-10-01,17162311
2017-11-01,17172903
2017-12-01,17180690
2018-01-01,17181084
2018-02-01,17185477
2018-03-01,17192306
2018-04-01,17193102
2018-05-01,17198900
2018-06-01,17207980
2018-07-01,17213114
2018-08-01,17217598
2018-09-01,17238230
2018-10-01,17259797
2018-11-01,17271231
2018-12-01,17280580
2019-01-01,17282163
2019-02-01,17290020
2019-03-01,17299343
2019-04-01,17305699
2019-05-01,17313391
2019-06-01,17321990
2019-07-01,17327985
2019-08-01,17335151
2019-09-01,17359352
2019-10-01,17385377
2019-11-01,17399364
2019-12-01,17407162
2020-01-01,17407585
2020-02-01,17413971
2020-03-01,17423863
2020-04-01,17424257
2020-05-01,17419652
2020-06-01,17421805
2020-07-01,17425798
2020-08-01,17430920
2020-09-01,17444824
2020-10-01,17465296
2020-11-01,17472440
2020-12-01,17476482
2021-01-01,17475415
2021-02-01,17476630
2021-03-01,17482020
2021-04-01,17488213
2021-05-01,17494691
2021-06-01,17500516
2021-07-01,17507126
2021-08-01,17515152
2021-09-01,17535520
2021-10-01,17565777
2021-11-01,17582493
2021-12-01,17591194
2022-01-01,17591394
2022-02-01,17597607
2022-03-01,17609246
